site,day,temperature_c,humidity,vibration_index,sparse_count_a,sparse_count_b,risk_score
estuary,1,27.428,0.883,0.443,9,0,17.828
estuary,2,21.035,0.82,0.983,0,3,15.64
estuary,3,24.043,0.689,0.969,0,2,14.253
estuary,4,30.82,0.661,0.825,11,3,19.922
estuary,5,27.2,0.863,0.794,8,0,15.075
estuary,6,23.426,0.807,1.257,7,0,18.397
estuary,7,25.534,0.763,0.611,6,1,16.185
estuary,8,22.899,0.766,0.771,5,1,14.873
estuary,9,24.51,0.681,0.976,10,9,15.852
estuary,10,27.455,0.692,0.725,0,4,16.066
estuary,11,24.321,0.729,0.399,1,0,14.327
estuary,12,20.865,0.63,1.122,6,5,13.772
estuary,13,22.533,0.862,1.11,5,0,18.967
estuary,14,24.731,0.704,0.579,2,1,15.292
estuary,15,31.845,0.69,1.165,8,0,17.488
estuary,16,21.456,0.697,1.028,0,2,15.083
estuary,17,20.946,0.81,0.613,0,0,12.079
estuary,18,22.353,0.694,1.308,0,0,13.958
estuary,19,24.014,0.693,0.751,5,2,13.655
estuary,20,23.305,0.654,0.891,4,5,18.103
estuary,21,21.068,0.784,0.453,5,0,14.095
estuary,22,18.487,0.7,1.229,5,0,16.86
estuary,23,24.06,0.923,0.791,14,1,19.548
estuary,24,23.362,0.968,1.012,2,4,18.023
estuary,25,15.265,0.761,0.885,9,3,14.652
estuary,26,20.635,0.707,0.968,0,4,13.794
estuary,27,26.493,0.826,1.207,5,4,19.613
estuary,28,23.443,0.787,1.069,1,2,15.749
estuary,29,22.873,0.68,1.402,3,7,18.979
estuary,30,24.724,0.742,1.085,1,1,17.129
estuary,31,17.555,0.817,0.688,6,3,16.104
estuary,32,23.556,0.716,0.403,6,7,17.158
estuary,33,23.001,0.658,0.896,4,1,14.968
estuary,34,22.217,0.821,0.843,1,1,14.62
estuary,35,22.524,0.846,0.643,0,7,17.747
estuary,36,16.34,0.644,0.866,3,1,14.696
estuary,37,22.474,0.769,1.09,1,1,15.844
estuary,38,26.903,0.73,0.968,1,0,18.622
estuary,39,18.393,0.913,0.733,0,1,16.457
estuary,40,19.482,0.676,0.28,1,1,13.266
estuary,41,25.387,0.727,0.949,1,1,12.339
estuary,42,27.78,0.602,0.681,0,1,15.534
estuary,43,21.165,0.611,0.447,2,3,12.272
estuary,44,28.499,0.806,1.152,3,1,22.291
estuary,45,23.95,0.826,1.117,1,7,18.194
estuary,46,26.012,0.832,0.691,3,3,16.723
estuary,47,24.812,0.649,0.825,1,2,13.134
estuary,48,22.736,0.769,1.107,1,1,16.717
estuary,49,25.083,0.784,1.042,0,3,20.062
estuary,50,27.039,0.74,1.294,1,3,16.245
estuary,51,22.255,0.863,0.912,0,0,17.942
estuary,52,14.117,0.83,1.042,6,2,16.897
estuary,53,30.544,0.965,1.112,20,3,22.519
estuary,54,21.723,0.594,1.008,12,1,14.175
estuary,55,18.763,0.622,0.786,1,7,12.794
estuary,56,23.675,0.692,0.801,7,1,17.507
estuary,57,19.534,0.743,1.099,5,1,15.028
estuary,58,24.722,0.73,0.537,0,0,16.304
estuary,59,21.351,0.665,0.628,3,6,13.167
estuary,60,19.885,0.686,0.74,2,1,14.491
forest,1,21.223,0.286,0.524,6,0,7.14
forest,2,24.517,0.192,0.543,0,3,9.523
forest,3,16.391,0.218,0.621,1,0,10.541
forest,4,21.561,0.359,0.55,8,4,11.509
forest,5,24.13,0.285,0.476,1,0,7.406
forest,6,25.156,0.071,0.556,9,2,10.181
forest,7,19.831,0.1,0.93,1,0,10.853
forest,8,24.019,0.248,0.252,0,2,4.475
forest,9,27.012,0.202,0.4,1,13,9.34
forest,10,26.167,0.236,0.738,3,1,8.133
forest,11,24.192,0.211,0.616,2,2,6.88
forest,12,20.536,0.132,0.372,0,3,5.209
forest,13,21.75,0.36,0.318,2,0,10.497
forest,14,23.016,0.257,0.8,8,11,5.971
forest,15,20.153,0.241,0.56,6,2,6.005
forest,16,17.296,0.186,0.603,0,1,8.679
forest,17,25.545,0.158,0.0,7,0,11.394
forest,18,24.137,0.305,0.12,0,5,6.856
forest,19,21.405,0.212,0.276,0,4,8.533
forest,20,18.458,0.169,0.539,3,3,6.21
forest,21,18.71,0.284,0.67,3,9,6.999
forest,22,23.102,0.21,0.512,0,0,6.758
forest,23,16.429,0.302,0.666,6,2,8.988
forest,24,19.408,0.122,0.205,5,2,9.184
forest,25,21.68,0.159,0.847,4,4,9.051
forest,26,20.443,0.333,0.541,3,1,12.314
forest,27,25.177,0.258,0.604,2,1,10.887
forest,28,17.104,0.203,0.527,7,3,10.845
forest,29,18.222,0.079,0.486,1,1,5.479
forest,30,21.432,0.206,0.219,2,0,8.448
forest,31,23.103,0.249,0.194,3,0,11.271
forest,32,20.805,0.351,0.472,2,0,7.692
forest,33,20.076,0.257,0.762,2,3,6.541
forest,34,27.176,0.248,0.273,7,5,7.132
forest,35,28.87,0.091,0.764,4,0,10.624
forest,36,21.368,0.192,0.195,5,7,6.365
forest,37,16.596,0.054,0.961,0,0,6.598
forest,38,19.892,0.233,0.095,3,0,6.498
forest,39,21.628,0.072,1.016,1,1,9.635
forest,40,22.246,0.307,0.409,1,1,8.597
forest,41,21.664,0.206,0.645,8,0,8.983
forest,42,21.986,0.108,0.473,15,0,9.317
forest,43,23.691,0.197,0.479,2,2,11.63
forest,44,20.936,0.197,0.871,1,7,6.366
forest,45,22.27,0.148,0.131,3,0,6.408
forest,46,25.201,0.294,0.404,12,5,10.429
forest,47,21.217,0.218,0.494,6,3,11.641
forest,48,21.708,0.225,0.643,3,4,9.076
forest,49,23.453,0.215,0.265,12,1,9.477
forest,50,15.055,0.268,0.422,0,2,4.303
forest,51,18.057,0.29,0.224,3,1,5.223
forest,52,26.644,0.144,0.394,1,8,8.583
forest,53,19.405,0.199,0.856,7,3,8.216
forest,54,19.798,0.251,0.23,3,1,6.021
forest,55,24.095,0.446,0.681,1,1,11.196
forest,56,18.553,0.297,0.395,4,1,5.119
forest,57,21.013,0.058,0.621,0,0,5.18
forest,58,20.052,0.223,0.878,4,1,7.591
forest,59,24.925,0.172,0.636,0,3,12.279
forest,60,25.307,0.14,0.637,0,0,9.16
marsh,1,25.949,0.462,0.897,3,0,16.436
marsh,2,21.456,0.609,0.993,12,0,16.775
marsh,3,21.701,0.549,1.09,0,1,14.138
marsh,4,23.734,0.559,1.236,0,8,15.511
marsh,5,23.004,0.624,1.074,2,2,18.213
marsh,6,28.475,0.504,1.511,3,0,15.112
marsh,7,28.617,0.498,1.345,10,0,19.437
marsh,8,28.759,0.525,1.338,3,0,18.447
marsh,9,24.189,0.419,1.183,6,1,16.372
marsh,10,20.733,0.588,1.154,17,0,18.408
marsh,11,26.758,0.457,1.29,0,3,14.116
marsh,12,19.073,0.636,0.601,7,0,16.523
marsh,13,26.236,0.538,1.202,0,8,18.741
marsh,14,22.667,0.609,1.022,3,5,14.51
marsh,15,24.929,0.624,1.386,1,0,17.869
marsh,16,24.557,0.565,0.96,4,0,18.601
marsh,17,16.968,0.475,1.16,5,2,13.487
marsh,18,23.83,0.577,1.057,0,5,17.249
marsh,19,26.694,0.374,1.235,21,0,20.081
marsh,20,21.565,0.648,1.212,2,1,14.963
marsh,21,21.139,0.592,0.806,4,0,16.072
marsh,22,24.874,0.609,1.256,3,6,12.295
marsh,23,23.66,0.627,1.353,7,0,18.627
marsh,24,20.409,0.505,1.188,3,2,13.063
marsh,25,23.667,0.6,1.076,0,10,14.003
marsh,26,26.715,0.573,1.423,7,4,23.523
marsh,27,24.359,0.615,0.887,2,1,15.78
marsh,28,29.767,0.69,1.166,1,0,19.528
marsh,29,23.687,0.503,1.142,2,7,16.928
marsh,30,21.783,0.468,1.342,5,3,13.971
marsh,31,24.691,0.599,0.972,0,3,17.595
marsh,32,25.125,0.443,0.96,21,0,16.148
marsh,33,25.648,0.556,1.081,6,0,14.754
marsh,34,26.584,0.611,1.053,0,0,17.015
marsh,35,23.096,0.673,0.942,0,12,15.561
marsh,36,23.835,0.44,1.013,5,0,17.445
marsh,37,25.303,0.678,1.366,5,5,16.368
marsh,38,21.429,0.657,0.954,3,1,14.551
marsh,39,24.962,0.588,1.091,7,1,17.863
marsh,40,18.18,0.652,1.313,0,3,17.792
marsh,41,26.529,0.432,1.107,2,0,15.827
marsh,42,20.437,0.589,1.28,3,2,16.319
marsh,43,27.031,0.564,1.11,2,5,17.748
marsh,44,23.456,0.56,1.204,1,5,15.402
marsh,45,24.426,0.337,1.087,7,3,13.068
marsh,46,25.574,0.483,1.3,0,5,18.701
marsh,47,28.971,0.647,1.17,0,2,19.202
marsh,48,27.288,0.694,1.021,0,3,17.317
marsh,49,25.934,0.443,0.609,4,0,17.555
